Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,0.2376100185
spotify:track:10QMwOs8ichrT1LIzDnlXD,Who Would You Be For Me,spotify:artist:1rCIEwPp5OnXW0ornlSsRl,Metric,spotify:album:1PedVMTwt52VHigoA1eqac,Who Would You Be For Me,spotify:artist:1rCIEwPp5OnXW0ornlSsRl,Metric,2023-09-08,https://i.scdn.co/image/ab67616d0000b273806707c98cdc186022c83bcd,1,1,301333,https://p.scdn.co/mp3-preview/4f0bb5803a3a2b00879df058446b93b8cdcd71d7?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,CBBEL2300005,,2023-09-22T13:32:23Z,"canadian indie,canadian rock,indie rock,indietronica,metropopolis,neo-synthpop",0.547,0.573,11,-6.732,1,0.0266,0.0457,0.0929,0.0827,0.301,135.953,4,,"Metric Music International, Inc.","C (C) 2023 Metric Music International, Inc. marketed and distributed by Thirty Tigers, P (P) 2023 Metric Music International, Inc. marketed and distributed by Thirty Tigers",
spotify:track:5r882UNUUII5EKZ9rlVImU,Satellite,spotify:artist:1EI0B66miJj5Fl408B7E9H,Courtney Marie Andrews,spotify:album:1RzcWepHYgRdm07qC7CFjh,Satellite,spotify:artist:1EI0B66miJj5Fl408B7E9H,Courtney Marie Andrews,2022-06-08,https://i.scdn.co/image/ab67616d0000b273943284c3cc0d2e675ffc899d,1,1,174540,https://p.scdn.co/mp3-preview/7ead9b58f6e8795142966600a6e9b7c2c80ea1ea?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,38,USFP71380804,,2022-06-20T14:46:03Z,"alternative country,folk,indie folk,modern folk rock,new americana",0.511,0.55,4,-8.323,1,0.0324,0.756,0,0.206,0.285,77.038,4,,Fat Possum,"C (C) 2022 Fat Possum Records, P (P) 2022 Fat Possum Records",
spotify:track:0HAqq2GcQKyi3s87GuN7jU,Amoeba,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,Clairo,spotify:album:32ium7Cxb1Xwp2MLzH2459,Sling,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,Clairo,2021-07-16,https://i.scdn.co/image/ab67616d0000b2732624442cf48e4962d1422da8,1,2,228922,https://p.scdn.co/mp3-preview/5fa36b4e0d6d9773a79d508746c5a5e6ed3b940f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,USUG12101891,,2021-11-16T03:46:39Z,"bedroom pop,indie pop,pop,pov: indie",0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,4,,Republic Records,"C © 2021 Clairo Records, LLC, under exclusive license to FADER Label / Republic Records, a division of UMG Recordings, Inc., P ℗ 2021 Clairo Records, LLC, under exclusive license to FADER Label / Republic Records, a division of UMG Recordings, Inc.",
spotify:track:45wvsBV2S5VVstF6hTwnT8,Steps,spotify:artist:1GUaQ6GpaxFPKZ0SCSsnwD,Skullcrusher,spotify:album:6p67XlnmixLtfkSn0vwiiE,Storm in Summer,spotify:artist:1GUaQ6GpaxFPKZ0SCSsnwD,Skullcrusher,2021-04-09,https://i.scdn.co/image/ab67616d0000b273372225f2708a1c5fb7256aef,1,3,111153,https://p.scdn.co/mp3-preview/f1135c4a1b94463f6b77a0072c0cabaaf8ea354b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,36,US38W2043803,,2021-09-14T19:02:00Z,"countrygaze,small room",0.621,0.435,8,-7.88,1,0.0398,0.79,0.000434,0.106,0.12,110,4,,Secretly Canadian,"C 2021 Secretly Canadian, P 2021 Secretly Canadian",
spotify:track:7idKSs7LIXScVu6dLS5ieh,The Trapper's Pelts,spotify:artist:2h3ooJn8m8X8cL2g1BZ1Rd,Yard Act,spotify:album:6JXI3CvEjelCxeKZW3zndN,Dark Days,spotify:artist:2h3ooJn8m8X8cL2g1BZ1Rd,Yard Act,2021-01-19,https://i.scdn.co/image/ab67616d0000b273c8cd3aa74907383c920a9181,1,4,238190,,TRUE,0,GBCSG2000038,,2021-03-04T15:43:29Z,"crank wave,uk post-punk revival",0.593,0.883,11,-6.437,0,0.154,0.00742,0.0879,0.273,0.672,98.13,4,,Zen F.C.,"C 2021 Zen F.C, P 2021 Zen F.C",
spotify:track:3x9Fdxt2AvcFQDzt3hLu8h,A Hero's Death,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,spotify:album:1TG1jA82COlOCK63DjmiT3,A Hero's Death,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,2020-07-31,https://i.scdn.co/image/ab67616d0000b273ef5b50b8727f041e6f30e7dd,1,7,258252,,FALSE,35,USBQU1900228,,2020-07-31T21:20:03Z,"crank wave,irish indie rock,irish post-punk",0.304,0.917,2,-4.129,1,0.0728,0.0045,0,0.142,0.437,197.847,4,,PTKF,"C © 2020 Partisan Records, P ℗ 2020 Partisan Records",
spotify:track:2pbCrAWlLbBkXqOsgtht23,Sunny,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,spotify:album:1TG1jA82COlOCK63DjmiT3,A Hero's Death,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,2020-07-31,https://i.scdn.co/image/ab67616d0000b273ef5b50b8727f041e6f30e7dd,1,10,292866,,FALSE,23,USBQU1900231,,2020-07-31T21:20:02Z,"crank wave,irish indie rock,irish post-punk",0.487,0.406,9,-11.173,1,0.0276,0.511,0.000241,0.0788,0.205,86.992,4,,PTKF,"C © 2020 Partisan Records, P ℗ 2020 Partisan Records",
spotify:track:2idIBTbZ0Wt3P9s5UbeOYQ,Rock And Sing,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,spotify:album:7pg8T6pajjHVZbiyB8bGxo,Two Hands,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2019-10-11,https://i.scdn.co/image/ab67616d0000b273e73a1a912f761d1a8b57c43b,1,1,123320,,FALSE,0,GBAFL1900261,,2020-01-06T14:48:27Z,"art pop,brooklyn indie,chamber pop,countrygaze,indie pop,indie rock,singer-songwriter,small room",0.692,0.136,10,-16.008,1,0.0784,0.903,0.00000151,0.343,0.235,106.77,3,,4AD,"C 2019 4AD Ltd, P 2019 4AD Ltd",
spotify:track:5adxR4hKytqQccvrDbJ6Ff,The Toy,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,spotify:album:7pg8T6pajjHVZbiyB8bGxo,Two Hands,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2019-10-11,https://i.scdn.co/image/ab67616d0000b273e73a1a912f761d1a8b57c43b,1,3,256093,,FALSE,0,GBAFL1900263,,2020-01-06T14:48:26Z,"art pop,brooklyn indie,chamber pop,countrygaze,indie pop,indie rock,singer-songwriter,small room",0.33,0.291,1,-11.081,1,0.0326,0.845,0.016,0.143,0.127,159.702,3,,4AD,"C 2019 4AD Ltd, P 2019 4AD Ltd",
spotify:track:6GrEZOZBgQMqJaxukanAVM,Wolf,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,spotify:album:7pg8T6pajjHVZbiyB8bGxo,Two Hands,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2019-10-11,https://i.scdn.co/image/ab67616d0000b273e73a1a912f761d1a8b57c43b,1,8,282320,,FALSE,0,GBAFL1900268,,2020-01-06T14:48:23Z,"art pop,brooklyn indie,chamber pop,countrygaze,indie pop,indie rock,singer-songwriter,small room",0.428,0.0825,0,-17.099,1,0.0359,0.953,0.0228,0.109,0.111,104.814,4,,4AD,"C 2019 4AD Ltd, P 2019 4AD Ltd",
